Month,Department,Expense_Category,Budget_Expense,Actual_Expense,Vendor,Cost_Type
01-01-24,Sales,Payroll,12000,12000,Internal Payroll,Fixed
01-01-24,Marketing,Marketing Spend,8000,9200,Google Ads,Variable
01-01-24,Product,Cloud Hosting,4500,5100,AWS,Variable
01-01-24,Customer Support,Customer Support Tools,2500,2400,Zendesk,Fixed
01-01-24,Operations,Software,3000,3150,Salesforce,Fixed
01-01-24,G&A,Rent,6000,6000,WeWork,Fixed
01-02-24,Sales,Payroll,12000,12200,Internal Payroll,Fixed
01-02-24,Marketing,Marketing Spend,8500,8700,Google Ads,Variable
01-02-24,Product,Cloud Hosting,4700,5350,AWS,Variable
01-02-24,Customer Support,Customer Support Tools,2500,2550,Zendesk,Fixed
01-02-24,Operations,Software,3000,3200,Salesforce,Fixed
01-02-24,G&A,Rent,6000,6000,WeWork,Fixed
01-03-24,Sales,Payroll,12500,12600,Internal Payroll,Fixed
01-03-24,Marketing,Marketing Spend,9000,10300,Google Ads,Variable
01-03-24,Product,Cloud Hosting,5000,5750,AWS,Variable
01-03-24,Customer Support,Customer Support Tools,2600,2650,Zendesk,Fixed
01-03-24,Operations,Software,3200,3350,Salesforce,Fixed
01-03-24,G&A,Professional Fees,4000,4600,Deloitte,Fixed
01-04-24,Sales,Payroll,13000,13200,Internal Payroll,Fixed
01-04-24,Marketing,Marketing Spend,9500,9800,Google Ads,Variable
01-04-24,Product,Cloud Hosting,5200,6100,AWS,Variable
01-04-24,Customer Support,Customer Support Tools,2700,2800,Zendesk,Fixed
01-04-24,Operations,Software,3300,3450,Salesforce,Fixed
01-04-24,G&A,Rent,6200,6200,WeWork,Fixed
01-05-24,Sales,Payroll,13500,13750,Internal Payroll,Fixed
01-05-24,Marketing,Marketing Spend,10000,11600,Google Ads,Variable
01-05-24,Product,Cloud Hosting,5500,6500,AWS,Variable
01-05-24,Customer Support,Customer Support Tools,2800,2900,Zendesk,Fixed
01-05-24,Operations,Software,3500,3650,Salesforce,Fixed
01-05-24,G&A,Rent,6200,6200,WeWork,Fixed
01-06-24,Sales,Payroll,14000,14200,Internal Payroll,Fixed
01-06-24,Marketing,Marketing Spend,10500,10800,Google Ads,Variable
01-06-24,Product,Cloud Hosting,5800,7000,AWS,Variable
01-06-24,Customer Support,Customer Support Tools,3000,3150,Zendesk,Fixed
01-06-24,Operations,Software,3600,3800,Salesforce,Fixed
01-06-24,G&A,Professional Fees,4200,4800,Deloitte,Fixed
